account_id,account_age_days,credit_limit,home_country,risk_score,is_high_risk,avg_txn_amount,avg_monthly_txns,has_2fa,account_type,total_transactions,total_amount,avg_amount,max_amount,fraud_count,fraud_amount,pct_foreign,avg_velocity,unique_countries,unique_categories,avg_ip_risk,fraud_rate,is_fraudster
ACC0000001,353,2171.42,US,16.5,0,90.82,71.1,1,personal,49.0,7246.6,147.89,740.46,0.0,0.0,0.35,1.27,9.0,11.0,22.98,0.0,0.0
ACC0000002,2831,3031.38,US,25.4,0,63.78,7.4,1,business,2.0,280.79,140.39,186.13,1.0,186.13,0.5,4.0,2.0,2.0,52.45,0.5,1.0
ACC0000003,2399,7533.75,US,10.6,0,72.18,31.9,0,personal,18.0,4435.69,246.43,1175.86,0.0,0.0,0.17,1.44,3.0,8.0,15.5,0.0,0.0
ACC0000004,1618,4821.94,US,20.7,0,53.64,16.6,1,personal,18.0,5824.48,323.58,2753.31,0.0,0.0,0.33,1.11,4.0,10.0,19.01,0.0,0.0
ACC0000005,1597,3355.1,US,30.6,0,168.44,32.0,1,personal,19.0,3849.75,202.62,718.61,0.0,0.0,0.42,0.95,7.0,12.0,26.71,0.0,0.0
ACC0000006,3138,2386.41,US,19.9,0,82.32,15.2,0,premium,11.0,2864.82,260.44,1900.84,1.0,43.52,0.36,1.64,5.0,8.0,23.62,0.090909,1.0
ACC0000007,341,2185.13,US,7.9,0,161.14,18.6,1,personal,13.0,1885.88,145.07,630.93,1.0,101.65,0.31,1.46,5.0,6.0,28.31,0.076923,1.0
ACC0000008,2554,4423.1,US,22.8,0,79.68,33.5,1,personal,30.0,5562.65,185.42,820.73,0.0,0.0,0.3,0.87,7.0,12.0,23.74,0.0,0.0
ACC0000009,759,24850.92,US,8.2,0,48.93,60.7,1,business,51.0,7858.0,154.08,770.52,0.0,0.0,0.27,0.86,8.0,13.0,17.58,0.0,0.0
ACC0000010,370,7728.18,US,28.3,0,142.22,47.2,0,personal,38.0,7166.25,188.59,995.94,0.0,0.0,0.39,0.79,9.0,13.0,22.79,0.0,0.0
ACC0000011,1935,1692.07,US,2.0,0,37.7,38.6,1,business,28.0,3776.11,134.86,572.4,0.0,0.0,0.29,1.21,7.0,10.0,18.26,0.0,0.0
ACC0000012,3561,8653.97,US,4.8,0,58.01,8.6,1,personal,9.0,1740.18,193.35,924.96,0.0,0.0,0.44,1.44,4.0,6.0,23.07,0.0,0.0
ACC0000013,2693,2678.17,US,14.9,0,32.89,14.1,1,personal,14.0,2381.18,170.08,451.32,0.0,0.0,0.29,0.79,5.0,7.0,27.49,0.0,0.0
ACC0000014,2785,4895.71,US,6.7,0,143.76,15.0,0,personal,12.0,1975.18,164.6,472.96,0.0,0.0,0.17,1.33,3.0,8.0,21.07,0.0,0.0
ACC0000015,2627,3068.4,US,15.4,0,132.55,15.6,1,personal,13.0,1765.0,135.77,910.02,1.0,910.02,0.31,1.0,5.0,6.0,25.46,0.076923,1.0
ACC0000016,2875,24790.2,US,14.4,0,43.19,15.2,0,personal,15.0,2407.81,160.52,455.66,0.0,0.0,0.33,1.27,5.0,8.0,27.97,0.0,0.0
ACC0000017,1887,1983.69,US,12.3,0,119.05,7.4,1,business,5.0,628.61,125.72,296.75,0.0,0.0,0.0,1.8,1.0,4.0,6.26,0.0,0.0
ACC0000018,493,6316.31,US,17.4,0,80.76,19.3,1,personal,12.0,2431.54,202.63,894.13,1.0,66.54,0.33,1.33,5.0,9.0,18.15,0.083333,1.0
ACC0000019,3069,2840.52,US,15.9,0,416.47,10.9,1,premium,8.0,1464.49,183.06,679.47,0.0,0.0,0.25,0.75,3.0,5.0,32.04,0.0,0.0
ACC0000020,1660,8875.61,US,26.4,0,30.76,25.3,1,premium,23.0,4524.77,196.73,731.62,0.0,0.0,0.17,1.13,5.0,9.0,14.7,0.0,0.0
ACC0000021,1841,6215.26,US,34.7,0,88.3,16.3,1,business,11.0,1787.97,162.54,561.37,0.0,0.0,0.27,0.64,4.0,8.0,21.74,0.0,0.0
ACC0000022,1372,13408.47,US,5.5,0,48.2,10.4,1,premium,9.0,1346.64,149.63,672.9,0.0,0.0,0.44,0.78,3.0,7.0,23.72,0.0,0.0
ACC0000023,690,8729.77,US,9.4,0,50.91,23.6,1,business,11.0,1494.4,135.85,914.07,0.0,0.0,0.27,1.18,4.0,6.0,24.35,0.0,0.0
ACC0000024,3384,2821.92,US,13.5,0,115.77,31.7,1,personal,18.0,2132.05,118.45,654.35,0.0,0.0,0.5,1.17,7.0,8.0,23.58,0.0,0.0
ACC0000025,2859,50000.0,US,3.2,0,50.49,9.8,0,personal,8.0,1058.47,132.31,346.2,0.0,0.0,0.75,2.0,5.0,5.0,18.74,0.0,0.0
ACC0000026,2360,7664.4,US,8.6,0,276.55,12.9,0,personal,13.0,3837.17,295.17,1927.22,1.0,426.7,0.54,1.15,6.0,10.0,29.21,0.076923,1.0
ACC0000027,1486,3163.61,US,21.4,0,31.23,13.2,0,business,11.0,1634.01,148.55,413.68,0.0,0.0,0.36,0.91,4.0,9.0,19.28,0.0,0.0
ACC0000028,3008,5793.15,US,12.0,0,72.79,16.8,1,personal,9.0,1318.72,146.52,635.92,0.0,0.0,0.33,0.78,4.0,5.0,20.0,0.0,0.0
ACC0000029,2004,8140.99,US,12.9,0,299.51,20.9,0,personal,21.0,2914.93,138.81,876.23,0.0,0.0,0.29,1.24,4.0,9.0,20.0,0.0,0.0
ACC0000030,1635,7896.98,US,11.4,0,54.7,10.8,1,personal,15.0,2560.02,170.67,794.74,0.0,0.0,0.33,0.87,6.0,9.0,18.36,0.0,0.0
ACC0000031,1660,7308.71,US,58.7,0,52.33,61.9,1,personal,58.0,10171.4,175.37,1451.05,1.0,40.04,0.34,1.09,8.0,14.0,22.26,0.017241,1.0
ACC0000032,852,10648.62,US,11.6,0,34.22,16.6,0,premium,16.0,2902.41,181.4,657.92,0.0,0.0,0.19,1.25,4.0,10.0,18.94,0.0,0.0
ACC0000033,363,9843.21,US,31.5,0,96.14,14.2,1,premium,11.0,2166.36,196.94,707.84,0.0,0.0,0.45,0.64,4.0,8.0,24.66,0.0,0.0
ACC0000034,2037,2494.76,US,20.3,0,109.64,18.2,1,personal,19.0,7442.82,391.73,2343.36,0.0,0.0,0.16,1.21,4.0,10.0,14.85,0.0,0.0
ACC0000035,3244,26540.93,US,20.4,0,148.4,25.2,1,business,18.0,4531.87,251.77,965.92,1.0,564.7,0.33,0.94,6.0,7.0,25.0,0.055556,1.0
ACC0000036,261,23744.6,US,23.1,0,59.1,17.4,0,business,10.0,919.69,91.97,305.87,0.0,0.0,0.5,1.3,5.0,7.0,14.75,0.0,0.0
ACC0000037,3137,9327.96,US,13.0,0,24.76,79.2,1,premium,60.0,13027.33,217.12,1878.75,1.0,1023.25,0.33,1.0,9.0,14.0,23.56,0.016667,1.0
ACC0000038,3026,5069.3,US,17.3,0,110.56,20.7,1,business,24.0,4200.12,175.0,992.16,0.0,0.0,0.29,1.0,5.0,11.0,24.79,0.0,0.0
ACC0000039,1031,5139.49,US,18.9,0,104.91,50.8,1,business,34.0,6118.68,179.96,1478.89,0.0,0.0,0.15,1.26,5.0,11.0,16.64,0.0,0.0
ACC0000040,2316,3793.29,US,13.1,0,81.27,27.1,0,personal,20.0,3179.63,158.98,689.27,0.0,0.0,0.35,1.0,6.0,10.0,24.1,0.0,0.0
